Stock A,Stock B,p-value
ADANIPORTS.NS,VEDL.NS,0.056334111184964994
PIDILITIND.NS,TATACONSUM.NS,0.05712615945917134
CHOLAFIN.NS,TATASTEEL.NS,0.05766115075685694
HAVELLS.NS,TITAN.NS,0.05814208278665843
ASHOKLEY.NS,TVSMOTOR.NS,0.059251912525566185
CANBK.NS,NTPC.NS,0.05975609587149429
IOC.NS,OIL.NS,0.060812323232629896
AMBUJACEM.NS,VEDL.NS,0.0609339720927158
HDFCBANK.NS,ICICIPRULI.NS,0.061427574276774005
ADANIPORTS.NS,TATAPOWER.NS,0.061454227892872436
BANKBARODA.NS,ONGC.NS,0.06282201384872717
CANBK.NS,EICHERMOT.NS,0.06329082586142841
JSWSTEEL.NS,TATASTEEL.NS,0.0644305279068036
AMBUJACEM.NS,BHARATFORG.NS,0.0656249686806944
NTPC.NS,SIEMENS.NS,0.0663902508470451
BAJAJFINSV.NS,TATACHEM.NS,0.06648312774643454
GRASIM.NS,VEDL.NS,0.06847035681291422
AXISBANK.NS,GRASIM.NS,0.06870925516552137
BAJFINANCE.NS,RELIANCE.NS,0.06999455444768825
CHOLAFIN.NS,ICICIBANK.NS,0.0706668969425755
ADANIPORTS.NS,ICICIBANK.NS,0.07134205854889247
UBL.NS,ULTRACEMCO.NS,0.07209042345036766
BPCL.NS,M&M.NS,0.07220483789379634
BHARATFORG.NS,JINDALSTEL.NS,0.07228211155723444
BAJAJ-AUTO.NS,TVSMOTOR.NS,0.07232861939682445
AXISBANK.NS,TATAPOWER.NS,0.07236350587314991
JSWSTEEL.NS,ULTRACEMCO.NS,0.07255573876299029
ABB.NS,LT.NS,0.07298239488455953
AXISBANK.NS,JSWSTEEL.NS,0.07364092460415687
CHOLAFIN.NS,ULTRACEMCO.NS,0.07534082404024822
BANKBARODA.NS,CANBK.NS,0.07568634636165997
BAJAJ-AUTO.NS,LT.NS,0.07579376311478517
ASHOKLEY.NS,LT.NS,0.07613160721789797
BAJAJFINSV.NS,ICICIPRULI.NS,0.07614392654401324
SBIN.NS,ULTRACEMCO.NS,0.07636458607903465
BAJAJFINSV.NS,BAJFINANCE.NS,0.07686306527566891
ASIANPAINT.NS,KOTAKBANK.NS,0.07694745770989582
BAJAJFINSV.NS,TATACONSUM.NS,0.07867373402596001
BPCL.NS,NTPC.NS,0.07934433345383735
TATACHEM.NS,TATACONSUM.NS,0.0795654055088929
HAVELLS.NS,SBIN.NS,0.07963867910902839
GODREJCP.NS,TATACONSUM.NS,0.07975643630825902
LT.NS,TVSMOTOR.NS,0.08083439397397035
ADANIPORTS.NS,BPCL.NS,0.08100672151054028
NESTLEIND.NS,PIDILITIND.NS,0.08105241014824333
BHARATFORG.NS,GAIL.NS,0.08165156688536618
ADANIPORTS.NS,AXISBANK.NS,0.0819633687708945
AMBUJACEM.NS,AXISBANK.NS,0.08223815336047302
EICHERMOT.NS,TATAPOWER.NS,0.08238812657857364
BANKBARODA.NS,BHEL.NS,0.08325273640651004
IOC.NS,NTPC.NS,0.0844951241852206
AMBUJACEM.NS,SIEMENS.NS,0.08512315807400406
ASHOKLEY.NS,ULTRACEMCO.NS,0.08544609028508698
ADANIPORTS.NS,LT.NS,0.0858615412758999
BPCL.NS,ULTRACEMCO.NS,0.08641506977139357
GAIL.NS,OIL.NS,0.08666724378207036
ASHOKLEY.NS,NTPC.NS,0.08836242929805932
EICHERMOT.NS,HEROMOTOCO.NS,0.08850114318253072
CANBK.NS,TVSMOTOR.NS,0.08928762390691874
BAJAJFINSV.NS,HAVELLS.NS,0.08933618785687114
ASIANPAINT.NS,RELIANCE.NS,0.08954240786628348
ASIANPAINT.NS,SHREECEM.NS,0.0895801546192121
BAJFINANCE.NS,PIDILITIND.NS,0.09025829279896758
CHOLAFIN.NS,TATAPOWER.NS,0.09337015179871122
SHREECEM.NS,TITAN.NS,0.09347493842765991
EICHERMOT.NS,LT.NS,0.0939827092209472
TATACHEM.NS,TATASTEEL.NS,0.09482281905164108
BHEL.NS,NTPC.NS,0.0955178866377861
CANBK.NS,HEROMOTOCO.NS,0.0958068553864378
ASHOKLEY.NS,CHOLAFIN.NS,0.09634334479398093
BAJFINANCE.NS,ICICIPRULI.NS,0.09686098178059582
TATAPOWER.NS,ULTRACEMCO.NS,0.09714007815457731
CHOLAFIN.NS,JSWSTEEL.NS,0.09950359894194305
ASHOKLEY.NS,BAJAJ-AUTO.NS,0.10070002784694915
AMBUJACEM.NS,HAVELLS.NS,0.10124851351638081
LT.NS,SBIN.NS,0.10169315592659184
AXISBANK.NS,SIEMENS.NS,0.10245180364836398
GRASIM.NS,TATAPOWER.NS,0.10351629708107263
HAVELLS.NS,TATACONSUM.NS,0.10435743813394693
JSWSTEEL.NS,TATACONSUM.NS,0.1055269093172172
ONGC.NS,SIEMENS.NS,0.10772543347636737
BANKBARODA.NS,IOC.NS,0.10774837151981193
HDFCBANK.NS,PIDILITIND.NS,0.10780215417554811
ADANIPORTS.NS,SIEMENS.NS,0.10853270397175468
BPCL.NS,ONGC.NS,0.10917097165049788
ADANIENT.NS,TATASTEEL.NS,0.10998863692862892
AXISBANK.NS,TVSMOTOR.NS,0.11039149700454914
BAJAJFINSV.NS,SHREECEM.NS,0.11099754435520709
ASIANPAINT.NS,BAJAJFINSV.NS,0.11125646082033985
JINDALSTEL.NS,TVSMOTOR.NS,0.11215523339475453
COALINDIA.NS,OIL.NS,0.11217735989003441
AXISBANK.NS,NTPC.NS,0.11273934990389906
BHEL.NS,CANBK.NS,0.1133971756219706
JSWSTEEL.NS,TITAN.NS,0.1134199752764044
KOTAKBANK.NS,RELIANCE.NS,0.11362654690946766
BAJAJFINSV.NS,HDFCBANK.NS,0.11442725076898325
IDFCFIRSTB.NS,TATAMOTORS.NS,0.11489356256047756
AXISBANK.NS,BAJAJ-AUTO.NS,0.11539706622526141
CHOLAFIN.NS,TITAN.NS,0.11541585954824224
GRASIM.NS,HAVELLS.NS,0.11544609493036995
SHREECEM.NS,SRF.NS,0.11555541122066076
HAVELLS.NS,JINDALSTEL.NS,0.1166065478570123
BHARATFORG.NS,TATAMOTORS.NS,0.11805876712632007
AXISBANK.NS,ICICIBANK.NS,0.11811194159806049
BAJFINANCE.NS,SRF.NS,0.11885846037868603
CANBK.NS,GAIL.NS,0.12109385427755848
POWERGRID.NS,SBIN.NS,0.12174117141855623
BHEL.NS,IOC.NS,0.12194637693642418
ICICIBANK.NS,JINDALSTEL.NS,0.12195764147748411
BAJFINANCE.NS,KOTAKBANK.NS,0.12206281992148443
BHEL.NS,GAIL.NS,0.12371723997952588
EICHERMOT.NS,ULTRACEMCO.NS,0.12462041612865482
ICICIPRULI.NS,RELIANCE.NS,0.1259042411206976
JSWSTEEL.NS,SBIN.NS,0.1262896228131763
GRASIM.NS,SBIN.NS,0.12670983405014835
ASHOKLEY.NS,M&M.NS,0.1269993022911109
AMBUJACEM.NS,EICHERMOT.NS,0.12964998568600034
BHARATFORG.NS,CANBK.NS,0.13060555280135738
AXISBANK.NS,PIDILITIND.NS,0.13312305433145044
CIPLA.NS,TORNTPHARM.NS,0.13324118586634648
ICICIBANK.NS,ULTRACEMCO.NS,0.1344181745625957
BPCL.NS,SBIN.NS,0.13487086861960113
BHARATFORG.NS,ULTRACEMCO.NS,0.13614089951358888
ADANIENT.NS,JSWSTEEL.NS,0.13660385029452393
ADANIPORTS.NS,AMBUJACEM.NS,0.13691292846629038
AMBUJACEM.NS,LT.NS,0.137018702975079
IOC.NS,VEDL.NS,0.13794454546531565
NTPC.NS,POWERGRID.NS,0.13796246418267832
EICHERMOT.NS,IOC.NS,0.1389085915172486
TATACONSUM.NS,TATASTEEL.NS,0.13893575313405787
ADANIPORTS.NS,HAVELLS.NS,0.1391914896209706
NTPC.NS,VEDL.NS,0.14051711613752083
SBIN.NS,TVSMOTOR.NS,0.14062277140042628
CHOLAFIN.NS,EICHERMOT.NS,0.1413639766805947
AXISBANK.NS,BHARATFORG.NS,0.14146883488626638
BPCL.NS,TATAPOWER.NS,0.14228175001168047
BPCL.NS,LT.NS,0.1427634596740383
