Date,ABB.NS,ADANIENT.NS,ADANIPORTS.NS,AMBUJACEM.NS,APOLLOHOSP.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BANKBARODA.NS,BERGEPAINT.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CANBK.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,COLPAL.NS,DABUR.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIPRULI.NS,IDFCFIRSTB.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JINDALSTEL.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MUTHOOTFIN.NS,NESTLEIND.NS,NTPC.NS,OIL.NS,ONGC.NS,PIDILITIND.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,TATACHEM.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,TORNTPHARM.NS,TVSMOTOR.NS,UBL.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,YESBANK.NS
2015-01-01,1131.1435546875,70.7613754272461,301.7728576660156,195.77297973632812,1084.1793212890625,21.544607162475586,684.9315185546875,532.2208251953125,486.9628601074219,1845.359375,127.90367126464844,1179.0234375,33.75813293457031,186.38209533691406,113.5482406616211,431.93756103515625,308.0735778808594,163.5709991455078,17477.48828125,57.9832649230957,73.58759307861328,90.47858428955078,586.8890380859375,154.55551147460938,729.6350708007812,208.6789093017578,799.1675415039062,597.1714477539062,1410.3419189453125,57.334136962890625,295.9696960449219,492.453125,253.2364501953125,298.521240234375,217.23533630371094,2240.0546875,633.1719360351562,294.02386474609375,283.6493225097656,67.5837631225586,764.6310424804688,367.770751953125,29.72538948059082,173.04220581054688,154.3683624267578,94.50639343261719,624.7947998046875,848.3334350585938,1344.9906005859375,559.4360961914062,173.6448211669922,278.2194519042969,80.23503112792969,108.49964904785156,132.96826171875,259.47955322265625,48.28196716308594,189.9998016357422,279.8805236816406,8981.6953125,468.1697082519531,165.4903106689453,757.8304443359375,132.1060333251953,132.65362548828125,484.2419128417969,70.00164794921875,28.898025512695312,462.629150390625,362.7237548828125,494.1908874511719,259.6556396484375,808.5542602539062,2548.02880859375,70.6109848022461,93.50819396972656,147.01248168945312
2015-01-02,1119.4107666015625,71.10795593261719,301.5840148925781,198.5237274169922,1086.056884765625,22.12465476989746,708.611328125,534.7709350585938,497.8531494140625,1845.0582275390625,126.81511688232422,1203.5323486328125,33.21843338012695,188.65365600585938,126.75608825683594,434.3553161621094,309.89874267578125,167.68235778808594,17554.525390625,57.11466979980469,73.48931884765625,93.79740905761719,588.5234985351562,155.2468719482422,745.0087890625,210.74412536621094,802.5787963867188,599.1990966796875,1393.6717529296875,57.59320068359375,297.2566833496094,505.9422607421875,252.13665771484375,298.23321533203125,220.25868225097656,2234.7890625,631.0849609375,302.36968994140625,283.6493225097656,67.5837631225586,768.3034057617188,374.9980163574219,29.561941146850586,173.584228515625,159.69309997558594,94.79456329345703,631.223388671875,866.2261352539062,1347.907958984375,553.8285522460938,164.77630615234375,278.8160400390625,81.3333511352539,108.95126342773438,134.95863342285156,264.5108947753906,48.8630256652832,189.49693298339844,280.9947509765625,8932.2236328125,472.11968994140625,174.0537872314453,761.5632934570312,133.2157745361328,134.23805236816406,497.2113952636719,71.02417755126953,29.34815788269043,464.89373779296875,365.5888671875,514.4676513671875,250.20684814453125,809.5231323242188,2624.2060546875,71.59326934814453,94.33766174316406,150.75180053710938
2015-01-05,1119.67138671875,72.28489685058594,305.7864685058594,198.2658233642578,1089.6678466796875,23.94765853881836,708.5657348632812,534.5109252929688,500.9992370605469,1851.7935791015625,125.13008117675781,1221.1285400390625,33.13161849975586,188.60203552246094,122.5822525024414,435.78289794921875,303.0224304199219,166.52505493164062,17730.7890625,57.225460052490234,73.77596282958984,95.27031707763672,591.185302734375,154.6368408203125,738.6453247070312,207.82583618164062,797.748291015625,585.62060546875,1400.0113525390625,57.77456283569336,297.3639831542969,507.84539794921875,254.6112060546875,293.2170715332031,218.3990478515625,2250.153564453125,634.7163696289062,302.99560546875,283.6493225097656,67.5837631225586,771.3168334960938,371.7756042480469,29.87999725341797,174.2676239013672,160.58058166503906,94.56846618652344,628.6915893554688,878.2771606445312,1346.02587890625,551.0245971679688,160.72674560546875,278.9658508300781,81.10806274414062,106.10963439941406,136.4852294921875,260.68426513671875,48.91587448120117,187.42127990722656,278.766357421875,8909.859375,474.3399658203125,171.35348510742188,762.024169921875,132.486083984375,134.63418579101562,508.8692626953125,70.5981216430664,29.773286819458008,457.13726806640625,368.5495300292969,512.1810913085938,253.43435668945312,806.907470703125,2629.5654296875,70.78813934326172,94.50691986083984,151.07528686523438
2015-01-06,1109.5030517578125,71.73613739013672,303.9449462890625,190.95925903320312,1057.216552734375,23.429758071899414,691.6514282226562,513.6631469726562,483.0907897949219,1837.3447265625,122.23717498779297,1198.9658203125,33.045772552490234,182.329345703125,118.5904769897461,411.0993347167969,300.6455383300781,158.94192504882812,17239.0546875,56.64935302734375,71.73664093017578,92.24797821044922,573.7672729492188,154.51483154296875,743.4937133789062,201.4505615234375,766.5223999023438,570.2099609375,1363.5428466796875,55.94804763793945,291.7105407714844,488.48016357421875,240.72581481933594,285.3861083984375,214.99920654296875,2174.412353515625,646.7377319335938,290.14306640625,283.6493225097656,67.5837631225586,751.8244018554688,364.0081481933594,29.54869270324707,169.79014587402344,150.52268981933594,91.11947631835938,621.1958618164062,848.982421875,1313.605712890625,547.9494018554688,158.70199584960938,275.086181640625,78.40445709228516,100.71805572509766,128.75564575195312,248.77914428710938,47.82414627075195,178.9152374267578,267.3126220703125,8693.2109375,462.4899597167969,163.79086303710938,745.2490234375,128.48794555664062,130.40899658203125,487.10784912109375,67.87134552001953,28.329998016357422,452.23388671875,355.94305419921875,488.6256408691406,250.76808166503906,806.4714965820312,2555.780517578125,67.32603454589844,92.29785919189453,146.84121704101562
2015-01-07,1093.51123046875,71.1007308959961,303.2366943359375,189.1970977783203,1065.4981689453125,24.714149475097656,705.548583984375,521.8088989257812,482.7035827636719,1841.63427734375,122.1328125,1197.0804443359375,33.71858215332031,183.5684051513672,122.06401062011719,414.6453857421875,301.3670959472656,154.61737060546875,17210.302734375,57.16341018676758,71.6137924194336,91.87499237060547,571.5256958007812,152.37985229492188,757.3118286132812,204.50352478027344,755.304931640625,565.3087158203125,1382.3936767578125,54.523128509521484,294.207763671875,494.6241149902344,244.0253143310547,278.6049499511719,215.626708984375,2145.306640625,669.4450073242188,282.2979431152344,283.6493225097656,67.5837631225586,745.750732421875,365.74981689453125,29.60169792175293,166.63233947753906,148.25477600097656,89.71414184570312,631.1986083984375,846.9505004882812,1296.4310302734375,553.6022338867188,158.41854858398438,276.2377624511719,80.29133605957031,100.26640319824219,130.64938354492188,245.6375274658203,48.5108757019043,182.80984497070312,267.5354919433594,8681.3818359375,464.297119140625,161.9686279296875,746.4010620117188,131.52833557128906,130.67306518554688,479.7730712890625,66.67837524414062,27.78696632385254,450.1208801269531,357.7575378417969,486.0154113769531,260.3572692871094,869.1038818359375,2545.683837890625,67.3099365234375,91.59539031982422,144.12001037597656
2015-01-08,1119.4107666015625,73.90230560302734,315.9383850097656,194.61253356933594,1084.612548828125,25.37706184387207,750.0283813476562,532.0317993164062,485.8981018066406,1844.042724609375,128.22178649902344,1228.75341796875,33.66118621826172,185.44419860839844,134.4034881591797,428.6449890136719,306.5879211425781,156.87100219726562,17625.544921875,60.05727005004883,74.02985382080078,93.2905044555664,577.3628540039062,154.31153869628906,777.7360229492188,206.52386474609375,756.8616333007812,570.3495483398438,1374.4283447265625,55.7990837097168,303.40020751953125,495.7024841308594,250.94509887695312,285.0517883300781,220.156005859375,2152.48388671875,682.0924682617188,289.97613525390625,283.6493225097656,67.5837631225586,752.1068725585938,367.59381103515625,30.348268508911133,170.80349731445312,155.69955444335938,90.6229476928711,665.5261840820312,852.3408203125,1324.9927978515625,559.684814453125,159.18789672851562,277.44879150390625,81.64314270019531,103.55967712402344,132.0986785888672,245.56666564941406,48.722171783447266,180.1884765625,271.7248229980469,8775.0048828125,475.2436218261719,163.30935668945312,754.6964721679688,133.89988708496094,135.2943572998047,497.4056701660156,68.16959381103516,28.21924591064453,457.6543273925781,356.13397216796875,495.05377197265625,277.10321044921875,865.4708862304688,2610.18603515625,67.79302215576172,92.25555419921875,146.36549377441406
2015-01-09,1099.464599609375,73.16580200195312,312.7275390625,192.37757873535156,1082.9755859375,24.320547103881836,742.85107421875,552.2659301757812,479.1219177246094,1787.9405517578125,127.16802215576172,1197.1644287109375,33.279205322265625,182.49282836914062,137.03662109375,427.83905029296875,302.0461730957031,155.16552734375,17474.07421875,60.212379455566406,72.19528198242188,92.87923431396484,590.5782470703125,152.52218627929688,775.8370361328125,206.0299835205078,779.3882446289062,588.4849853515625,1361.953369140625,56.388492584228516,313.6346740722656,492.7498474121094,250.30360412597656,287.1418151855469,222.6202850341797,2158.434814453125,721.7884521484375,285.302490234375,283.6493225097656,67.5837631225586,755.21435546875,386.40704345703125,30.18922996520996,168.2112579345703,150.7199249267578,89.81167602539062,675.6033935546875,846.8094482421875,1336.9913330078125,559.9561767578125,158.98544311523438,281.23150634765625,78.99588012695312,106.36370086669922,135.65431213378906,246.72412109375,48.75739288330078,184.09373474121094,270.25408935546875,8800.4345703125,472.1714172363281,161.57211303710938,765.0657958984375,134.40155029296875,136.9668426513672,507.4120788574219,67.99916076660156,28.5550594329834,477.927978515625,356.13397216796875,510.95147705078125,277.3838806152344,875.7401123046875,2612.004638671875,66.9234619140625,93.69440460205078,145.35693359375
2015-01-12,1101.1593017578125,74.30664825439453,310.1777648925781,195.98788452148438,1077.005126953125,24.98345375061035,738.5083618164062,556.067138671875,485.5108337402344,1756.4459228515625,126.02477264404297,1217.0645751953125,33.1649055480957,185.8572235107422,129.1651611328125,461.1109619140625,296.2310485839844,156.9319305419922,18261.025390625,59.950904846191406,72.88324737548828,94.9068832397461,589.083984375,145.5274200439453,778.5238037109375,210.78903198242188,781.2425537109375,596.5670166015625,1372.945068359375,55.73432159423828,324.4513244628906,497.2365417480469,248.24131774902344,292.71539306640625,220.65798950195312,2118.688720703125,748.5028076171875,289.2250061035156,283.6493225097656,67.5837631225586,781.0630493164062,394.1372375488281,29.99485206604004,168.65896606445312,147.31800842285156,88.72554016113281,680.592529296875,865.9723510742188,1346.6845703125,557.6046142578125,158.86395263671875,284.59588623046875,78.85504913330078,103.66321563720703,134.37890625,248.35397338867188,48.0706672668457,181.95384216308594,273.7303161621094,8813.6044921875,478.2383728027344,160.10865783691406,769.9048461914062,133.71743774414062,138.50729370117188,507.4120788574219,68.42522430419922,28.347858428955078,491.06024169921875,359.8586120605469,491.04150390625,280.1904296875,884.4592895507812,2584.20361328125,66.42427062988281,94.12605285644531,148.0210723876953
2015-01-13,1104.8966064453125,71.72892761230469,305.0309143066406,197.79306030273438,1107.4825439453125,24.776296615600586,762.3709716796875,543.1994018554688,488.36651611328125,1748.9957275390625,127.8887710571289,1226.6585693359375,33.5970344543457,186.13255310058594,131.43417358398438,453.6507873535156,293.9814147949219,156.8405303955078,18330.470703125,59.34379196166992,72.8423080444336,95.48072814941406,594.3606567382812,146.88978576660156,783.7158203125,211.68698120117188,789.30078125,599.5615844726562,1367.53955078125,55.46228790283203,331.284423828125,513.27294921875,247.7831268310547,294.2109680175781,219.81375122070312,2086.985595703125,738.4431762695312,284.5095520019531,283.6493225097656,67.5837631225586,777.3435668945312,389.0986633300781,30.052284240722656,169.71945190429688,146.67706298828125,88.08273315429688,691.4889526367188,857.675048828125,1348.6138916015625,564.7500610351562,158.782958984375,295.6886901855469,78.2636489868164,100.71805572509766,131.38369750976562,254.42465209960938,47.84174728393555,180.42385864257812,271.9476318359375,8842.1943359375,474.72723388671875,169.52182006835938,767.8768920898438,136.16497802734375,136.6587371826172,504.643310546875,67.40267181396484,27.97274398803711,492.3265075683594,355.4654846191406,495.24786376953125,289.03118896484375,897.1989135742188,2697.321533203125,65.89286041259766,95.38716125488281,148.7632293701172
2015-01-14,1097.24853515625,70.95632934570312,312.8219909667969,200.1569366455078,1117.545166015625,24.424129486083984,770.4166870117188,540.4371948242188,483.6231994628906,1778.608642578125,124.6827163696289,1253.5975341796875,36.403541564941406,185.00537109375,127.90457916259766,452.7757873535156,293.5570068359375,163.69281005859375,18853.6953125,57.761695861816406,71.84310913085938,99.88031768798828,589.6909790039062,147.70315551757812,783.3117065429688,225.42527770996094,780.7847290039062,596.7529296875,1370.7181396484375,55.2485466003418,332.6020812988281,516.2327270507812,241.6423797607422,293.31927490234375,219.93923950195312,2094.091064453125,771.4188232421875,281.1712646484375,283.6493225097656,67.5837631225586,769.0097045898438,396.5028991699219,29.65912437438965,163.92234802246094,144.80355834960938,85.84840393066406,690.6202392578125,856.8282470703125,1339.4853515625,559.390869140625,155.86727905273438,298.6478271484375,77.5877456665039,99.7018814086914,132.96826171875,268.0068359375,47.912193298339844,178.6691436767578,271.591064453125,8871.4072265625,486.46075439453125,173.11903381347656,756.4016723632812,134.70558166503906,136.30667114257812,505.5177001953125,67.18965148925781,26.92599868774414,497.75592041015625,354.8924560546875,485.6056823730469,288.04888916015625,902.0913696289062,2783.787109375,60.57892608642578,93.43201446533203,149.70518493652344
